number,type,fan_in,area_code,toll_free,in_corpus,own_complaints,call_type
+18772000760,SHADOW,15,877,Yes,No,0,
+18772003699,SHADOW,10,877,Yes,No,0,
+16199351051,BRIDGE,9,619,No,Yes,10,Scam suspicion
+18779411030,SHADOW,7,877,Yes,No,0,
+18334872573,SHADOW,6,833,Yes,No,0,
+18668789928,BRIDGE,6,866,Yes,Yes,18,Scam suspicion
+16813249414,BRIDGE,6,681,No,Yes,1,Scam suspicion
+13072929758,SHADOW,6,307,No,No,0,
+18664570072,SHADOW,5,866,Yes,No,0,
+18775804552,BRIDGE,5,877,Yes,Yes,1,Scam suspicion
+18775800338,BRIDGE,5,877,Yes,Yes,1,Scam suspicion
+18449867272,BRIDGE,5,844,Yes,Yes,6,Scam suspicion
+18444875755,BRIDGE,5,844,Yes,Yes,3,Scam suspicion
+18337277904,BRIDGE,5,833,Yes,Yes,3,Scam suspicion
+18445093152,BRIDGE,4,844,Yes,Yes,4,Scam suspicion
+18556820740,SHADOW,4,855,Yes,No,0,
+18885991096,SHADOW,3,888,Yes,No,0,
+18666590805,SHADOW,3,866,Yes,No,0,
+18778675139,SHADOW,3,877,Yes,No,0,
+18335883786,SHADOW,3,833,Yes,No,0,
+18773960066,SHADOW,3,877,Yes,No,0,
+18559090590,BRIDGE,3,855,Yes,Yes,1,Valid
+18775804884,BRIDGE,3,877,Yes,Yes,34,Scam suspicion
+18334872576,SHADOW,3,833,Yes,No,0,
+18334872577,SHADOW,3,833,Yes,No,0,
+13044541294,SHADOW,3,304,No,No,0,
+18332030519,SHADOW,2,833,Yes,No,0,
+18669591349,BRIDGE,2,866,Yes,Yes,5,Scam suspicion
+18552911375,SHADOW,2,855,Yes,No,0,
+18667056003,SHADOW,2,866,Yes,No,0,
+18445092754,BRIDGE,2,844,Yes,Yes,1,Scam suspicion
+18669181918,SHADOW,2,866,Yes,No,0,
+18334210745,SHADOW,2,833,Yes,No,0,
+18669591247,SHADOW,2,866,Yes,No,0,
+18559090933,BRIDGE,2,855,Yes,Yes,3,Scam suspicion
+18443060627,SHADOW,2,844,Yes,No,0,
+18664504447,SHADOW,2,866,Yes,No,0,
+18664570045,SHADOW,2,866,Yes,No,0,
+18335883796,BRIDGE,2,833,Yes,Yes,3,Scam suspicion
+18882889945,SHADOW,2,888,Yes,No,0,
+18559090876,BRIDGE,2,855,Yes,Yes,1,Scam suspicion
+18335883794,BRIDGE,2,833,Yes,Yes,1,Scam suspicion
+18335883808,BRIDGE,2,833,Yes,Yes,3,Scam suspicion
+18009188520,BRIDGE,2,800,Yes,Yes,27,Scam suspicion
+18334450067,SHADOW,1,833,Yes,No,0,
+18334453021,SHADOW,1,833,Yes,No,0,
+12232046154,SHADOW,1,223,No,No,0,
+18668784934,SHADOW,1,866,Yes,No,0,
+13512044244,SHADOW,1,351,No,No,0,
+12048370391,SHADOW,1,204,No,No,0,
+12066462064,SHADOW,1,206,No,No,0,
+17606784122,SHADOW,1,760,No,No,0,
+18005330877,SHADOW,1,800,Yes,No,0,
+18887860091,SHADOW,1,888,Yes,No,0,
+18446137440,SHADOW,1,844,Yes,No,0,
+12085795521,SHADOW,1,208,No,No,0,
+18663831834,SHADOW,1,866,Yes,No,0,
+18558741852,SHADOW,1,855,Yes,No,0,
+18772458055,SHADOW,1,877,Yes,No,0,
+12124624262,BRIDGE,1,212,No,Yes,30,Scam suspicion
+17185709438,SHADOW,1,718,No,No,0,
+12124174313,SHADOW,1,212,No,No,0,
+19143372406,SHADOW,1,914,No,No,0,
+18332802588,SHADOW,1,833,Yes,No,0,
+18889644625,SHADOW,1,888,Yes,No,0,
+14024095484,BRIDGE,1,402,No,Yes,1,Scam suspicion
+12135504173,SHADOW,1,213,No,No,0,
+18007323799,SHADOW,1,800,Yes,No,0,
+19724285972,SHADOW,1,972,No,No,0,
+14692530008,SHADOW,1,469,No,No,0,
+12157501845,SHADOW,1,215,No,No,0,
+18883352690,SHADOW,1,888,Yes,No,0,
+18337043571,SHADOW,1,833,Yes,No,0,
+12026210932,SHADOW,1,202,No,No,0,
+14808253145,SHADOW,1,480,No,No,0,
+19156131890,SHADOW,1,915,No,No,0,
+18333813505,SHADOW,1,833,Yes,No,0,
+18439684623,SHADOW,1,843,No,No,0,
+18886051211,SHADOW,1,888,Yes,No,0,
+18888038054,BRIDGE,1,888,Yes,Yes,4,Scam suspicion
+19845846446,BRIDGE,1,984,No,Yes,1,Scam suspicion
+18773820111,SHADOW,1,877,Yes,No,0,
+17712223296,SHADOW,1,771,No,No,0,
+17854004617,SHADOW,1,785,No,No,0,
+15729000906,SHADOW,1,572,No,No,0,
+18886747141,SHADOW,1,888,Yes,No,0,
+18889195704,SHADOW,1,888,Yes,No,0,
+18449860454,SHADOW,1,844,Yes,No,0,
+18332984300,SHADOW,1,833,Yes,No,0,
+18559090836,BRIDGE,1,855,Yes,Yes,1,Scam suspicion
+18446075103,BRIDGE,1,844,Yes,Yes,40,Scam suspicion
+14103349879,SHADOW,1,410,No,No,0,
+18558666950,SHADOW,1,855,Yes,No,0,
+18668770563,SHADOW,1,866,Yes,No,0,
+18332133710,SHADOW,1,833,Yes,No,0,
+18558285309,SHADOW,1,855,Yes,No,0,
+18448508881,BRIDGE,1,844,Yes,Yes,40,Debt collector
+19027652140,SHADOW,1,902,No,No,0,
+18447230844,BRIDGE,1,844,Yes,Yes,34,Scam suspicion
